,pm2.5,datum_od,o3,pm10,co,no2
0,24.457279962546817,2023-02-20 18:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 19:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 20:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 21:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 22:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 23:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 00:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 01:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 02:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 03:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 04:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 05:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-21 06:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,26.0,2023-02-21 07:00:00,3.0,29.0,0.5,55.0
0,23.0,2023-02-21 08:00:00,4.0,28.0,0.3841990555757355,49.0
0,26.0,2023-02-21 09:00:00,7.0,39.0,0.5,45.0
0,34.0,2023-02-21 10:00:00,46.0,56.0,0.4,26.0
0,41.0,2023-02-21 11:00:00,72.0,49.0,0.3,12.0
0,40.0,2023-02-21 12:00:00,74.0,49.0,0.3,11.0
0,38.0,2023-02-21 13:00:00,74.0,49.0,0.3,12.0
0,39.0,2023-02-21 14:00:00,74.0,48.0,0.3,26.22096317280453
0,42.0,2023-02-21 15:00:00,70.0,51.0,0.3,16.0
0,43.0,2023-02-21 16:00:00,64.0,50.0,0.3,20.0
0,45.0,2023-02-21 17:00:00,61.0,51.0,0.3,21.0
0,46.0,2023-02-21 18:00:00,59.0,51.0,0.3,22.0
0,46.0,2023-02-21 19:00:00,57.0,51.0,0.3,21.0
0,48.0,2023-02-21 20:00:00,37.0,54.0,0.4,40.0
0,49.0,2023-02-21 21:00:00,26.0,53.0,0.5,49.0
0,60.0,2023-02-21 22:00:00,8.0,65.0,0.6,60.0
0,60.0,2023-02-21 23:00:00,16.0,64.0,0.6,43.0
0,65.0,2023-02-22 00:00:00,12.0,71.0,0.7,38.0
0,61.0,2023-02-22 01:00:00,11.0,67.0,0.6,33.0
0,59.0,2023-02-22 02:00:00,8.0,64.0,0.6,29.0
